l,m,C,S
2,0,-4.84E-04,0
2,1,-1.87E-10,1.20E-09
2,2,2.44E-06,-1.40E-06
3,0,9.57E-07,0
3,1,2.03E-06,2.49E-07
3,2,9.05E-07,-6.19E-07
3,3,7.21E-07,1.41E-06
4,0,5.40E-07,0
4,1,-5.36E-07,-4.73E-07
4,2,3.51E-07,6.63E-07
4,3,9.91E-07,-2.01E-07
4,4,-1.89E-07,3.09E-07
5,0,6.85E-08,0
5,1,-6.21E-08,-9.44E-08
5,2,6.52E-07,-3.23E-07
5,3,-4.52E-07,-2.15E-07
5,4,-2.95E-07,4.97E-08
5,5,1.75E-07,-6.69E-07
6,0,-1.49E-07,0
6,1,-6.39E-08,1.41E-08
6,2,9.41E-08,-5.36E-08
6,3,5.88E-08,-6.87E-08
6,4,-3.31E-07,9.16E-08
6,5,-2.06E-08,2.34E-07
6,6,1.07E-07,-1.21E-07
7,0,9.05E-08,0
7,1,2.31E-07,1.72E-07
7,2,3.85E-07,5.05E-08
7,3,2.50E-07,4.59E-08
7,4,-1.06E-07,-4.29E-08
7,5,5.93E-08,7.51E-08
7,6,-1.52E-07,-2.54E-08
7,7,1.09E-08,-1.57E-08
8,0,4.95E-08,0
8,1,5.07E-08,6.90E-08
8,2,4.16E-08,-9.51E-08
8,3,-3.03E-08,-4.25E-08
8,4,1.52E-08,6.52E-08
8,5,1.38E-08,-1.60E-08
8,6,-1.42E-08,4.23E-08
8,7,-3.69E-08,-9.24E-09
8,8,-3.94E-09,-2.17E-08
9,0,3.02E-08,0
9,1,2.29E-08,-8.33E-09
9,2,8.83E-09,1.32E-08
9,3,-1.81E-08,3.73E-08
9,4,8.64E-09,-2.50E-08
9,5,5.03E-09,-6.15E-09
9,6,1.28E-08,-2.71E-08
9,7,-8.46E-09,-5.20E-09
9,8,-7.24E-09,9.22E-09
9,9,1.99E-08,-4.04E-09
10,0,1.59E-08,0
10,1,9.85E-10,-8.97E-09
10,2,-3.39E-08,9.42E-09
10,3,5.20E-10,-1.84E-09
10,4,-1.12E-08,1.53E-08
10,5,-4.28E-09,-7.11E-09
10,6,9.04E-09,-5.99E-09
10,7,5.51E-09,-5.03E-09
10,8,-6.65E-09,6.66E-09
10,9,3.68E-09,1.65E-08
10,10,3.88E-09,9.15E-09
11,0,7.85E-09,0
11,1,5.96E-09,-3.90E-09
11,2,-2.46E-09,1.18E-09
11,3,7.16E-10,-3.09E-09
11,4,-1.69E-09,2.44E-09
11,5,-2.53E-09,-4.99E-09
11,6,-4.72E-10,2.62E-10
11,7,1.96E-09,-2.89E-09
11,8,-1.82E-09,-3.44E-09
11,9,4.26E-10,-1.07E-09
11,10,-1.16E-09,-2.96E-09
11,11,-1.63E-09,3.91E-09
12,0,4.75E-09,0
12,1,2.47E-10,-2.93E-09
12,2,1.08E-09,-1.04E-09
12,3,-2.47E-09,7.53E-10
12,4,-2.09E-09,1.95E-09
12,5,-8.54E-10,-2.15E-09
12,6,1.02E-09,-1.02E-09
12,7,1.82E-10,1.23E-09
12,8,-4.88E-10,-8.68E-10
12,9,-1.58E-09,-1.34E-09
12,10,-1.35E-09,-3.32E-10
12,11,-8.56E-10,-2.06E-09
12,12,-9.36E-10,6.13E-10
13,0,4.21E-09,0
13,1,-1.99E-10,-1.93E-09
13,2,-1.06E-09,-1.23E-09
13,3,-1.12E-09,-4.98E-10
13,4,-1.02E-09,1.44E-09
13,5,-8.22E-10,-1.23E-09
13,6,3.57E-10,-1.21E-09
13,7,7.34E-10,1.06E-09
13,8,-5.34E-10,-5.89E-10
13,9,-1.20E-09,-8.78E-10
13,10,-1.11E-09,-2.35E-10
13,11,-6.65E-10,-1.52E-09
13,12,-7.20E-10,4.53E-10
13,13,-7.31E-10,4.81E-10
14,0,3.25E-09,0
14,1,-1.55E-10,-1.49E-09
14,2,-8.15E-10,-9.47E-10
14,3,-8.63E-10,-3.83E-10
14,4,-7.90E-10,1.11E-09
14,5,-6.32E-10,-9.48E-10
14,6,2.75E-10,-9.33E-10
14,7,5.65E-10,8.17E-10
14,8,-4.11E-10,-4.53E-10
14,9,-9.20E-10,-6.75E-10
14,10,-8.53E-10,-1.81E-10
14,11,-5.12E-10,-1.17E-09
14,12,-5.54E-10,3.49E-10
14,13,-5.62E-10,3.70E-10
14,14,-5.75E-10,3.97E-10
15,0,2.50E-09,0
15,1,-1.20E-10,-1.15E-09
15,2,-6.27E-10,-7.30E-10
15,3,-6.64E-10,-2.95E-10
15,4,-6.09E-10,8.56E-10
15,5,-4.87E-10,-7.30E-10
15,6,2.11E-10,-7.18E-10
15,7,4.35E-10,6.29E-10
15,8,-3.16E-10,-3.49E-10
15,9,-7.08E-10,-5.20E-10
15,10,-6.57E-10,-1.39E-10
15,11,-3.94E-10,-8.99E-10
15,12,-4.26E-10,2.68E-10
15,13,-4.33E-10,2.85E-10
15,14,-4.42E-10,3.06E-10
15,15,-4.55E-10,3.32E-10
16,0,1.93E-09,0
16,1,-9.21E-11,-8.83E-10
16,2,-4.83E-10,-5.62E-10
16,3,-5.12E-10,-2.27E-10
16,4,-4.69E-10,6.59E-10
16,5,-3.75E-10,-5.62E-10
16,6,1.63E-10,-5.53E-10
16,7,3.35E-10,4.84E-10
16,8,-2.44E-10,-2.69E-10
16,9,-5.45E-10,-4.01E-10
16,10,-5.06E-10,-1.07E-10
16,11,-3.04E-10,-6.93E-10
16,12,-3.28E-10,2.07E-10
16,13,-3.33E-10,2.19E-10
16,14,-3.41E-10,2.36E-10
16,15,-3.51E-10,2.56E-10
16,16,-3.64E-10,2.81E-10
17,0,1.48E-09,0
17,1,8.13E-11,-5.93E-10
17,2,-3.22E-10,-3.52E-10
17,3,-3.31E-10,-1.44E-10
17,4,-3.25E-10,4.21E-10
17,5,-2.32E-10,-3.72E-10
17,6,1.15E-10,-3.51E-10
17,7,2.00E-10,2.87E-10
17,8,-1.45E-10,-1.60E-10
17,9,-3.23E-10,-2.38E-10
17,10,-3.00E-10,-6.36E-11
17,11,-1.80E-10,-4.11E-10
17,12,-1.95E-10,1.23E-10
17,13,-1.98E-10,1.30E-10
17,14,-2.02E-10,1.40E-10
17,15,-2.08E-10,1.52E-10
17,16,-2.16E-10,1.66E-10
17,17,-2.26E-10,1.84E-10
18,0,1.14E-09,0
18,1,6.27E-11,-4.57E-10
18,2,-2.48E-10,-2.71E-10
18,3,-2.55E-10,-1.11E-10
18,4,-2.50E-10,3.25E-10
18,5,-1.79E-10,-2.87E-10
18,6,8.88E-11,-2.71E-10
18,7,1.54E-10,2.21E-10
18,8,-1.11E-10,-1.23E-10
18,9,-2.49E-10,-1.83E-10
18,10,-2.32E-10,-4.90E-11
18,11,-1.39E-10,-3.17E-10
18,12,-1.50E-10,9.46E-11
18,13,-1.53E-10,1.00E-10
18,14,-1.56E-10,1.08E-10
18,15,-1.60E-10,1.17E-10
18,16,-1.66E-10,1.28E-10
18,17,-1.74E-10,1.42E-10
18,18,-1.84E-10,1.58E-10
19,0,8.81E-10,0
19,1,4.83E-11,-3.52E-10
19,2,-1.91E-10,-2.09E-10
19,3,-1.97E-10,-8.55E-11
19,4,-1.93E-10,2.50E-10
19,5,-1.38E-10,-2.21E-10
19,6,6.85E-11,-2.09E-10
19,7,1.19E-10,1.71E-10
19,8,-8.59E-11,-9.48E-11
19,9,-1.92E-10,-1.41E-10
19,10,-1.79E-10,-3.78E-11
19,11,-1.07E-10,-2.44E-10
19,12,-1.16E-10,7.29E-11
19,13,-1.18E-10,7.72E-11
19,14,-1.20E-10,8.30E-11
19,15,-1.24E-10,9.01E-11
19,16,-1.28E-10,9.87E-11
19,17,-1.34E-10,1.09E-10
19,18,-1.42E-10,1.22E-10
19,19,-1.52E-10,1.38E-10
20,0,6.79E-10,0
20,1,3.73E-11,-2.72E-10
20,2,-1.47E-10,-1.61E-10
20,3,-1.52E-10,-6.59E-11
20,4,-1.49E-10,1.93E-10
20,5,-1.06E-10,-1.70E-10
20,6,5.28E-11,-1.61E-10
20,7,9.16E-11,1.31E-10
20,8,-6.62E-11,-7.31E-11
20,9,-1.48E-10,-1.09E-10
20,10,-1.38E-10,-2.91E-11
20,11,-8.25E-11,-1.88E-10
20,12,-8.92E-11,5.62E-11
20,13,-9.07E-11,5.95E-11
20,14,-9.26E-11,6.40E-11
20,15,-9.53E-11,6.95E-11
20,16,-9.87E-11,7.61E-11
20,17,-1.03E-10,8.42E-11
20,18,-1.09E-10,9.42E-11
20,19,-1.17E-10,1.07E-10
20,20,-1.27E-10,1.22E-10
